#Nuclei Z   Q Flag T(ns)     Count  SigmaT(ps) TError(ps)
58Ni	28	28	Y	638308.83785 	43 	1.37 	0.208239962
60Cu	29	29	Y	637918.25937 	65 	1.09 	0.135230808
62Zn	30	30	Y	637525.59797 	118 	0.82 	0.075308537
64Ga	31	31	Y	637189.05015 	112 	0.82 	0.077082662
99Cd	48	48	Y	636929.52418 	37 	0.82 	0.133229342
66Ge	32	32	Y	636844.55302 	86 	1.09 	0.117224354
68As	33	33	Y	636550.84253 	67 	0.81 	0.09918811
70Se	34	34	Y	636244.65070 	71 	0.81 	0.096732579
72Br	35	35	Y	635986.53040 	93 	2.98 	0.308446611
